Game Number,Move Number,Player,Move,Board,Comment
1,18,Black,f8f6,"r n b q . r k .
p p . . n . p p
. . . . p P . .
. . p p . . . .
. . . P . . Q .
P . P B . . . .
. . P . . P P P
R . B . K . N R","Black hasn't blocked-out Bd3, but has more room for his pieces to defend Kg8. The backward Pe6 is hardly of importance when a king's safety is at stake. There is even the possibility of ...e6-e5 (discovering an attack on Qg4) and then ...e5-e4 to block out Bd3."
1,19,White,c1g5,"r n b q . . k .
p p . . n . p p
. . . . p r . .
. . p p . . . .
. . . P . . Q .
P . P B . . . .
. . P . . P P P
R . B . K . N R",
1,20,Black,f6f7,"r n b q . . k .
p p . . n . p p
. . . . p r . .
. . p p . . B .
. . . P . . Q .
P . P B . . . .
. . P . . P P P
R . . . K . N R",
1,21,White,g4h5,"r n b q . . k .
p p . . n r p p
. . . . p . . .
. . p p . . B .
. . . P . . Q .
P . P B . . . .
. . P . . P P P
R . . . K . N R",threatening Qh5xh7+ or Bd3xh7+
1,22,Black,g7g6,"r n b q . . k .
p p . . n r p p
. . . . p . . .
. . p p . . B Q
. . . P . . . .
P . P B . . . .
. . P . . P P P
R . . . K . N R",this secures Ph7 and may serve to provide a support for ...Ne7-f5
1,23,White,h5d1,"r n b q . . k .
p p . . n r . p
. . . . p . p .
. . p p . . B Q
. . . P . . . .
P . P B . . . .
. . P . . P P P
R . . . K . N R","Although he could have played 12. Qh4 I think he might have had it in mind to play h2-h4-h5xg6 to continue the attack on Kg8. In any event after Qd8 moves Black would have ...Ne7-f5, so Qd1 is safer."
1,24,Black,b8c6,"r n b q . . k .
p p . . n r . p
. . . . p . p .
. . p p . . B .
. . . P . . . .
P . P B . . . .
. . P . . P P P
R . . Q K . N R",
1,25,White,g1f3,"r . b q . . k .
p p . . n r . p
. . n . p . p .
. . p p . . B .
. . . P . . . .
P . P B . . . .
. . P . . P P P
R . . Q K . N R","It seems to me this is the moment for Black to define (and begin) his middle-game plan. To develop Bc8-d7 isn't much: ideally Black could now (without White's Pe5) aim for ...e6-e5 when Bc8 could develop to g4 or f5. So, 13...c4 14. Be2 Qd6 might be a good start. If one doesn't like ...c5-c4 then 13...Qd6 could still be played. White can't fight for square e5 so easily."
1,26,Black,d8f8,"r . b q . . k .
p p . . n r . p
. . n . p . p .
. . p p . . B .
. . . P . . . .
P . P B . N . .
. . P . . P P P
R . . Q K . . R",
1,27,White,e1g1,"r . b . . q k .
p p . . n r . p
. . n . p . p .
. . p p . . B .
. . . P . . . .
P . P B . N . .
. . P . . P P P
R . . Q K . . R",
1,28,Black,c5c4,"r . b . . q k .
p p . . n r . p
. . n . p . p .
. . p p . . B .
. . . P . . . .
P . P B . N . .
. . P . . P P P
R . . Q . R K .",
1,29,White,d3e2,"r . b . . q k .
p p . . n r . p
. . n . p . p .
. . . p . . B .
. . p P . . . .
P . P B . N . .
. . P . . P P P
R . . Q . R K .",
1,30,Black,h7h6,"r . b . . q k .
p p . . n r . p
. . n . p . p .
. . . p . . B .
. . p P . . . .
P . P . . N . .
. . P . B P P P
R . . Q . R K .",further weakening the king's position seems unnecessary.
1,31,White,g5c1,"r . b . . q k .
p p . . n r . .
. . n . p . p p
. . . p . . B .
. . p P . . . .
P . P . . N . .
. . P . B P P P
R . . Q . R K .",
1,32,Black,c8d7,"r . b . . q k .
p p . . n r . .
. . n . p . p p
. . . p . . . .
. . p P . . . .
P . P . . N . .
. . P . B P P P
R . B Q . R K .",
1,33,White,f3e1,"r . . . . q k .
p p . b n r . .
. . n . p . p p
. . . p . . . .
. . p P . . . .
P . P . . N . .
. . P . B P P P
R . B Q . R K .","I'm told this is a novelty, which means all which preceded it had been played before. This amazes me because it seems to me Black's play was far from perfect."
1,34,Black,g6g5,"r . . . . q k .
p p . b n r . .
. . n . p . p p
. . . p . . . .
. . p P . . . .
P . P . . . . .
. . P . B P P P
R . B Q N R K .",
1,35,White,g2g3,"r . . . . q k .
p p . b n r . .
. . n . p . . p
. . . p . . p .
. . p P . . . .
P . P . . . . .
. . P . B P P P
R . B Q N R K .","While Black is moving the pawns in front of his king White aims to control f4, leaving Black's center and king weak. Those two factors (if achieved by White) could lead to a won position."
1,36,Black,e7f5,"r . . . . q k .
p p . b n r . .
. . n . p . . p
. . . p . . p .
. . p P . . . .
P . P . . . P .
. . P . B P . P
R . B Q N R K .",
1,37,White,e1g2,"r . . . . q k .
p p . b . r . .
. . n . p . . p
. . . p . n p .
. . p P . . . .
P . P . . . P .
. . P . B P . P
R . B Q N R K .",
1,38,Black,f8g7,"r . . . . q k .
p p . b . r . .
. . n . p . . p
. . . p . n p .
. . p P . . . .
P . P . . . P .
. . P . B P N P
R . B Q . R K .",
1,39,White,f2f4,"r . . . . . k .
p p . b . r q .
. . n . p . . p
. . . p . n p .
. . p P . . . .
P . P . . . P .
. . P . B P N P
R . B Q . R K .",
1,40,Black,f5d6,"r . . . . . k .
p p . b . r q .
. . n . p . . p
. . . p . n p .
. . p P . P . .
P . P . . . P .
. . P . B . N P
R . B Q . R K .",
1,41,White,d1e1,"r . . . . . k .
p p . b . r q .
. . n n p . . p
. . . p . . p .
. . p P . P . .
P . P . . . P .
. . P . B . N P
R . B Q . R K .",
1,42,Black,b7b5,"r . . . . . k .
p p . b . r q .
. . n n p . . p
. . . p . . p .
. . p P . P . .
P . P . . . P .
. . P . B . N P
R . B . Q R K .","White might have found it useful to play a3-a4, but Black uses Pb5 to bind Pa3 & Pc3 which blocks Bc1 and Ra1. This isn't essential to a resolution of the pressures on Pf4, but it could contribute to the pressure on Ponomariov to find his way."
1,43,White,f4g5,"r . . . . . k .
p . . b . r q .
. . n n p . . p
. p . p . . p .
. . p P . P . .
P . P . . . P .
. . P . B . N P
R . B . Q R K .","Ponomariov prefers to simplify the position; rightly so I think. His pieces need room to fight, before Black gets in ...e6-e5."
1,44,Black,f7f1,"r . . . . . k .
p . . b . r q .
. . n n p . . p
. p . p . . P .
. . p P . . . .
P . P . . . P .
. . P . B . N P
R . B . Q R K .",
1,45,White,e2f1,"r . . . . . k .
p . . b . . q .
. . n n p . . p
. p . p . . P .
. . p P . . . .
P . P . . . P .
. . P . B . N P
R . B . Q r K .",
1,46,Black,h6g5,"r . . . . . k .
p . . b . . q .
. . n n p . . p
. p . p . . P .
. . p P . . . .
P . P . . . P .
. . P . . . N P
R . B . Q B K .",
1,47,White,g2e3,"r . . . . . k .
p . . b . . q .
. . n n p . . .
. p . p . . p .
. . p P . . . .
P . P . . . P .
. . P . . . N P
R . B . Q B K .",
1,48,Black,a8f8,"r . . . . . k .
p . . b . . q .
. . n n p . . .
. p . p . . p .
. . p P . . . .
P . P . N . P .
. . P . . . . P
R . B . Q B K .",
1,49,White,f1g2,". . . . . r k .
p . . b . . q .
. . n n p . . .
. p . p . . p .
. . p P . . . .
P . P . N . P .
. . P . . . . P
R . B . Q B K .",
1,50,Black,a7a5,". . . . . r k .
p . . b . . q .
. . n n p . . .
. p . p . . p .
. . p P . . . .
P . P . N . P .
. . P . . . B P
R . B . Q . K .",
1,51,White,c1d2,". . . . . r k .
. . . b . . q .
. . n n p . . .
p p . p . . p .
. . p P . . . .
P . P . N . P .
. . P . . . B P
R . B . Q . K .",
1,52,Black,g7g6,". . . . . r k .
. . . b . . q .
. . n n p . . .
p p . p . . p .
. . p P . . . .
P . P . N . P .
. . P B . . B P
R . . . Q . K .",
1,53,White,e3g4,". . . . . r k .
. . . b . . . .
. . n n p . q .
p p . p . . p .
. . p P . . . .
P . P . N . P .
. . P B . . B P
R . . . Q . K .",Offering Pc2 isn't a problem because Pg5 would fall too.
1,54,Black,f8f5,". . . . . r k .
. . . b . . . .
. . n n p . q .
p p . p . . p .
. . p P . . N .
P . P . . . P .
. . P B . . B P
R . . . Q . K .","Since Black can't play ...e6-e5 this rook move doesn't help much. Better is to stir up trouble all across the board by breaking through White's ""strong"" dark squares with ...b5-b4."
1,55,White,e1e3,". . . . . . k .
. . . b . . . .
. . n n p . q .
p p . p . r p .
. . p P . . N .
P . P . . . P .
. . P B . . B P
R . . . Q . K .",
1,56,Black,g8g7,". . . . . . k .
. . . b . . . .
. . n n p . q .
p p . p . r p .
. . p P . . N .
P . P . Q . P .
. . P B . . B P
R . . . . . K .",
1,57,White,a1b1,". . . . . . . .
. . . b . . k .
. . n n p . q .
p p . p . r p .
. . p P . . N .
P . P . Q . P .
. . P B . . B P
R . . . . . K .",
1,58,Black,g7h7,". . . . . . . .
. . . b . . k .
. . n n p . q .
p p . p . r p .
. . p P . . N .
P . P . Q . P .
. . P B . . B P
. R . . . . K .",
1,59,White,a3a4,". . . . . . . .
. . . b . . . k
. . n n p . q .
p p . p . r p .
. . p P . . N .
P . P . Q . P .
. . P B . . B P
. R . . . . K .","Now it's White who controls b5! An invasion by the White rook could help win the game. One curious thing about this move is that, despite it being White who is forcing matters, Black can benefit to some extent by capturing the gambit pawn and advancing it."
1,60,Black,b5a4,". . . . . . . .
. . . b . . . k
. . n n p . q .
p p . p . r p .
P . p P . . N .
. . P . Q . P .
. . P B . . B P
. R . . . . K .",
1,61,White,d2c1,". . . . . . . .
. . . b . . . k
. . n n p . q .
p . . p . r p .
p . p P . . N .
. . P . Q . P .
. . P B . . B P
. R . . . . K .",
1,62,Black,f5f7,". . . . . . . .
. . . b . . . k
. . n n p . q .
p . . p . r p .
p . p P . . N .
. . P . Q . P .
. . P . . . B P
. R B . . . K .",
1,63,White,c1a3,". . . . . . . .
. . . b . r . k
. . n n p . q .
p . . p . . p .
p . p P . . N .
. . P . Q . P .
. . P . . . B P
. R B . . . K .",
1,64,Black,g6c2,". . . . . . . .
. . . b . r . k
. . n n p . q .
p . . p . . p .
p . p P . . N .
B . P . Q . P .
. . P . . . B P
. R . . . . K .","It's not so easy to see, but this backfires on Black. Had it worked to achieve a victory or draw then we might have to reconsider the notation (""?!"") . Black is trying to achieve, despite unorthodox means, the primary offensive plan -- to bash White's queen-side and, since White's king remains safe, to advance a pawn to promotion. Considering the alternatives this seems a reasonable try; and by doing so he distracts White, to some extent, from his king-side plans."
1,65,White,b1c1,". . . . . . . .
. . . b . r . k
. . n n p . . .
p . . p . . p .
p . p P . . N .
B . P . Q . P .
. . q . . . B P
. R . . . . K .",
1,66,Black,c2f5,". . . . . . . .
. . . b . r . k
. . n n p . . .
p . . p . . p .
p . p P . . N .
B . P . Q . P .
. . q . . . B P
. . R . . . K .",
1,67,White,g2h3,". . . . . . . .
. . . b . r . k
. . n n p . . .
p . . p . q p .
p . p P . . N .
B . P . Q . P .
. . . . . . B P
. . R . . . K .",White threatens Nd6 and to move Ng4-e5.
1,68,Black,d6e4,". . . . . . . .
. . . b . r . k
. . n n p . . .
p . . p . q p .
p . p P . . N .
B . P . Q . P B
. . . . . . . P
. . R . . . K .",
1,69,White,g4e5,". . . . . . . .
. . . b . r . k
. . n . p . . .
p . . p . q p .
p . p P n . N .
B . P . Q . P B
. . . . . . . P
. . R . . . K .",
1,70,Black,f5f2,". . . . . . . .
. . . b . r . k
. . n . p . . .
p . . p N q p .
p . p P n . . .
B . P . Q . P B
. . . . . . . P
. . R . . . K .",
1,71,White,e3f2,". . . . . . . .
. . . b . r . k
. . n . p . . .
p . . p N . p .
p . p P n . . .
B . P . Q . P B
. . . . . q . P
. . R . . . K .",
1,72,Black,f7f2,". . . . . . . .
. . . b . r . k
. . n . p . . .
p . . p N . p .
p . p P n . . .
B . P . . . P B
. . . . . Q . P
. . R . . . K .",
1,73,White,e5d7,". . . . . . . .
. . . b . . . k
. . n . p . . .
p . . p N . p .
p . p P n . . .
B . P . . . P B
. . . . . r . P
. . R . . . K .","Black's combination allows the ""bad"" Bd7 to be traded-off, so he has Rf2 and Ne4 activated, but at a cost. The question now is whether White can neutralize Ne4 & Rf2. To that end Nd7-c5 is in the offing. There may also be an opportunity for Bh3xe6."
1,74,Black,f2a2,". . . . . . . .
. . . N . . . k
. . n . p . . .
p . . p . . p .
p . p P n . . .
B . P . . . P B
. . . . . r . P
. . R . . . K .",
1,75,White,a3c5,". . . . . . . .
. . . N . . . k
. . n . p . . .
p . . p . . p .
p . p P n . . .
B . P . . . P B
r . . . . . . P
. . R . . . K .",
1,76,Black,e4d2,". . . . . . . .
. . . N . . . k
. . n . p . . .
p . B p . . p .
p . p P n . . .
. . P . . . P B
r . . . . . . P
. . R . . . K .",
1,77,White,h3g2,". . . . . . . .
. . . N . . . k
. . n . p . . .
p . B p . . p .
p . p P . . . .
. . P . . . P B
r . . n . . . P
. . R . . . K .",
1,78,Black,a4a3,". . . . . . . .
. . . N . . . k
. . n . p . . .
p . B p . . p .
p . p P . . . .
. . P . . . P .
r . . n . . B P
. . R . . . K .",
1,79,White,d7f8,". . . . . . . .
. . . N . . . k
. . n . p . . .
p . B p . . p .
. . p P . . . .
p . P . . . P .
r . . n . . B P
. . R . . . K .",
1,80,Black,h7h6,". . . . . N . .
. . . . . . . k
. . n . p . . .
p . B p . . p .
. . p P . . . .
p . P . . . P .
r . . n . . B P
. . R . . . K .","Black needs one or two very valuable tempi for his plan to advance Pa3. What can White do in the meantime, nothing except capture Pe6; unless Black puts his king in a dangerous spot!"
1,81,White,c1e1,". . . . . N . .
. . . . . . . .
. . n . p . . k
p . B p . . p .
. . p P . . . .
p . P . . . P .
r . . n . . B P
. . R . . . K .","White is looking for moves which capture material AND check Black's king. This is to gain time for clearing the board of Black pawns. He'll probably have to gambit Bc5xa3 to get rid of that one. Bg2 is purely for defensive work at the moment, but if Pe6 disappears Bxd5 could also become useful."
1,82,Black,e6e5,". . . . . N . .
. . . . . . . .
. . n . p . . k
p . B p . . p .
. . p P . . . .
p . P . . . P .
r . . n . . B P
. . . . R . K .",
1,83,White,d4e5,". . . . . N . .
. . . . . . . .
. . n . . . . k
p . B p p . p .
. . p P . . . .
p . P . . . P .
r . . n . . B P
. . . . R . K .",
1,84,Black,g5g4,". . . . . N . .
. . . . . . . .
. . n . . . . k
p . B p P . p .
. . p . . . . .
p . P . . . P .
r . . n . . B P
. . . . R . K .",
1,85,White,e5e6,". . . . . N . .
. . . . . . . .
. . n . . . . k
p . B p P . . .
. . p . . . p .
p . P . . . P .
r . . n . . B P
. . . . R . K .",moving off a square where Black's Nc6 could sacrifice itself desperado-style
1,86,Black,d2f3,". . . . . N . .
. . . . . . . .
. . n . P . . k
p . B p . . . .
. . p . . . p .
p . P . . . P .
r . . n . . B P
. . . . R . K .",
1,87,White,g2f3,". . . . . N . .
. . . . . . . .
. . n . P . . k
p . B p . . . .
. . p . . . p .
p . P . . n P .
r . . . . . B P
. . . . R . K .",
1,88,Black,g4f3,". . . . . N . .
. . . . . . . .
. . n . P . . k
p . B p . . . .
. . p . . . p .
p . P . . B P .
r . . . . . . P
. . . . R . K .",
1,89,White,g1f1,". . . . . N . .
. . . . . . . .
. . n . P . . k
p . B p . . . .
. . p . . . . .
p . P . . p P .
r . . . . . . P
. . . . R . K .","It looks complicated enough to continue, though White clearly has the upper hand with Pa3 already attacked and Pe6 prepared to advance. White only needs to gobble up a bunch of pawns, so his knight & rook could win an ending without being distracted by Black pawns on the queen-side."
2,1,White,e2e4,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . . . . .
. . . . . . . .
P P P P P P P P
R N B Q K B N R",
2,2,Black,c7c5,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R",
2,3,White,g1f3,"r n b q k b n r
p p . p p p p p
. . . . . . . .
. . p . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R",
2,4,Black,e7e6,"r n b q k b n r
p p . p p p p p
. . . . . . . .
. . p . . . . .
. . . . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K B . R","It could be argued the ideal pawn formation for Black is with ...d7-d6 and ...g7-g6 as in a Dragon or with ...e7-e6 and ...b7-b6 as in a Queen's Indian Defense. Both and everything else between are played. I've played the Najdorf and Scheveningen variations, but can easily see the advantages of the Dragon too. I haven't been too fond of 2...e6 because there's no added control of square e5, but that doesn't mean Black can't play ...Ng8-f6. 2...e6 serves a similar purpose to 1...e6 in a French Defense. It limits the scope of Bf1 and frees the way for Bf8 to develop."
2,5,White,d2d4,"r n b q k b n r
p p . p . p p p
. . . . p . . .
. . p . . . . .
. . . . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K B . R",
2,6,Black,c5d4,"r n b q k b n r
p p . p . p p p
. . . . p . . .
. . p . . . . .
. . . P P . . .
. . . . . N . .
P P P . . P P P
R N B Q K B . R","In this Sicilian Variation Black grabs the d-pawn before it can ever serve to support e4-e5. Now, usually, White must use f2-f4 to support the e4-e5 advance. But, that isn't the only plan White can utilize. Instead White aims for general piece activity and freedom of movement to hit Black wherever he can."
2,7,White,f3d4,"r n b q k b n r
p p . p . p p p
. . . . p . . .
. . . . . . . .
. . . p P . . .
. . . . . N . .
P P P . . P P P
R N B Q K B . R",
2,8,Black,b8c6,"r n b q k b n r
p p . p . p p p
. . . . p . . .
. . . . . . . .
. . . N P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B . R",
2,9,White,b1c3,"r . b q k b n r
p p . p . p p p
. . n . p . . .
. . . . . . . .
. . . N P . . .
. . . . . . . .
P P P . . P P P
R N B Q K B . R",
2,10,Black,d8c7,"r . b q k b n r
p p . p . p p p
. . n . p . . .
. . . . . . . .
. . . N P . . .
. . N . . . . .
P P P . . P P P
R . B Q K B . R",
2,11,White,f1e2,"r . b . k b n r
p p q p . p p p
. . n . p . . .
. . . . . . . .
. . . N P . . .
. . N . . . . .
P P P . . P P P
R . B Q K B . R",
2,12,Black,a7a6,"r . b . k b n r
p p q p . p p p
. . n . p . . .
. . . . . . . .
. . . N P . . .
. . N . . . . .
P P P . B P P P
R . B Q K . . R",Black's pawns limit White's knights and Be2. Black seeks to keep open options while discouraging White from any active operations.
2,13,White,e1g1,"r . b . k b n r
. p q p . p p p
p . n . p . . .
. . . . . . . .
. . . N P . . .
. . N . . . . .
P P P . B P P P
R . B Q K . . R",
2,14,Black,g8f6,"r . b . k b n r
. p q p . p p p
p . n . p . . .
. . . . . . . .
. . . N P . . .
. . N . . . . .
P P P . B P P P
R . B Q . R K .","This normal developing move creates an interesting threat: ...Bf8-b4xc3 and ...Nf6xe4. White tends to disregard this as a threat, to some extent, because the weakening of Black's dark squares is compensation for doubled c-file pawns. However, the loss of Pe4 requires more compensation."
2,15,White,c1e3,"r . b . k b . r
. p q p . p p p
p . n . p n . .
. . . . . . . .
. . . N P . . .
. . N . . . . .
P P P . B P P P
R . B Q . R K .",
2,16,Black,f8b4,"r . b . k b . r
. p q p . p p p
p . n . p n . .
. . . . . . . .
. . . N P . . .
. . N . B . . .
P P P . B P P P
R . . Q . R K .",
2,17,White,c3a4,"r . b . k . . r
. p q p . p p p
p . n . p n . .
. . . . . . . .
. b . N P . . .
. . N . B . . .
P P P . B P P P
R . . Q . R K .","This is a most unusual variation, not often played, but popular for a time in the 1980s. It was ""discussed"" several times in the Polugaevsky Memorial/Sicilian Love tournament, Buenos Aires 1994. White exploits the weak dark squares in exchange for Pe4. It might seem impossible, at this early stage, for this to be sufficient compensation for a pawn, but it has shown to be effective."
2,18,Black,b4e7,"r . b . k . . r
. p q p . p p p
p . n . p n . .
. . . . . . . .
N b . N P . . .
. . . . B . . .
P P P . B P P P
R . . Q . R K .",
2,19,White,d4c6,"r . b . k . . r
. p q p b p p p
p . n . p n . .
. . . . . . . .
N . . N P . . .
. . . . B . . .
P P P . B P P P
R . . Q . R K .",
2,20,Black,b7c6,"r . b . k . . r
. p q p b p p p
p . N . p n . .
. . . . . . . .
N . . . P . . .
. . . . B . . .
P P P . B P P P
R . . Q . R K .",
2,21,White,a4b6,"r . b . k . . r
. . q p b p p p
p . p . p n . .
. . . . . . . .
N . . . P . . .
. . . . B . . .
P P P . B P P P
R . . Q . R K .",
2,22,Black,a8b8,"r . b . k . . r
. . q p b p p p
p N p . p n . .
. . . . . . . .
. . . . P . . .
. . . . B . . .
P P P . B P P P
R . . Q . R K .",
2,23,White,b6c8,". r b . k . . r
. . q p b p p p
p N p . p n . .
. . . . . . . .
. . . . P . . .
. . . . B . . .
P P P . B P P P
R . . Q . R K .",
2,24,Black,c7c8,". r N . k . . r
. . q p b p p p
p . p . p n . .
. . . . . . . .
. . . . P . . .
. . . . B . . .
P P P . B P P P
R . . Q . R K .","With 9...Be7 Black has threatened ...Rb8xb2, but left Pe4. White's two bishops and freedom of movement should give him some lasting advantage. Whether Black can utilize Nf6 with advancing central pawns, meant to block White's pieces, is unclear."
2,25,White,e3d4,". r q . k . . r
. . . p b p p p
p . p . p n . .
. . . . . . . .
. . . . P . . .
. . . . B . . .
P P P . B P P P
R . . Q . R K .",
2,26,Black,e8g8,". r q . k . . r
. . . p b p p p
p . p . p n . .
. . . . . . . .
. . . B P . . .
. . . . . . . .
P P P . B P P P
R . . Q . R K .",
2,27,White,d1d3,". r q . . r k .
. . . p b p p p
p . p . p n . .
. . . . . . . .
. . . B P . . .
. . . . . . . .
P P P . B P P P
R . . Q . R K .",
2,28,Black,c8c7,". r q . . r k .
. . . p b p p p
p . p . p n . .
. . . . . . . .
. . . B P . . .
. . . Q . . . .
P P P . B P P P
R . . . . R K .",
2,29,White,b2b3,". r . . . r k .
. . q p b p p p
p . p . p n . .
. . . . . . . .
. . . B P . . .
. . . Q . . . .
P P P . B P P P
R . . . . R K .",
2,30,Black,a6a5,". r . . . r k .
. . q p b p p p
p . p . p n . .
. . . . . . . .
. . . B P . . .
. P . Q . . . .
P . P . B P P P
R . . . . R K .",
2,31,White,a1d1,". r . . . r k .
. . q p b p p p
. . p . p n . .
p . . . . . . .
. . . B P . . .
. P . Q . . . .
P . P . B P P P
R . . . . R K .",White threatens Bxf6 followed by Qxd7 and seems interested only in simple piece play -- tactical opportunism.
2,32,Black,d7d5,". r . . . r k .
. . q p b p p p
. . p . p n . .
p . . . . . . .
. . . B P . . .
. P . Q . . . .
P . P . B P P P
. . . R . R K .",
2,33,White,e4d5,". r . . . r k .
. . q . b p p p
. . p . p n . .
p . . p . . . .
. . . B P . . .
. P . Q . . . .
P . P . B P P P
. . . R . R K .",
2,34,Black,f6d5,". r . . . r k .
. . q . b p p p
. . p . p n . .
p . . P . . . .
. . . B . . . .
. P . Q . . . .
P . P . B P P P
. . . R . R K .",Black accepts that his pawns will be broken up and just improves the knight. From d5 it threatens ...Nd5-f4 to snare Be2 or ... Nd5-b4 to grab Pa2.
2,35,White,e2f3,". r . . . r k .
. . q . b p p p
. . p . p . . .
p . . n . . . .
. . . B . . . .
. P . Q . . . .
P . P . B P P P
. . . R . R K .",
2,36,Black,f8d8,". r . . . r k .
. . q . b p p p
. . p . p . . .
p . . n . . . .
. . . B . . . .
. P . Q . B . .
P . P . . P P P
. . . R . R K .",
2,37,White,c2c4,". r . r . . k .
. . q . b p p p
. . p . p . . .
p . . n . . . .
. . . B . . . .
. P . Q . B . .
P . P . . P P P
. . . R . R K .",
2,38,Black,d5f6,". r . r . . k .
. . q . b p p p
. . p . p . . .
p . . n . . . .
. . P B . . . .
. P . Q . B . .
P . . . . P P P
. . . R . R K .",Black obviously threatens ...c6-c5
2,39,White,d3c3,". r . r . . k .
. . q . b p p p
. . p . p n . .
p . . . . . . .
. . P B . . . .
. P . Q . B . .
P . . . . P P P
. . . R . R K .",White turns the tables a bit and threatens Bd4-e5 which either wins the exchange (Be5xb8) or forces ...Be7-d6 which allows Be5xf6 to win a pawn and weaken Kg8.
2,40,Black,e7d6,". r . r . . k .
. . q . b p p p
. . p . p n . .
p . . . . . . .
. . P B . . . .
. P Q . . B . .
P . . . . P P P
. . . R . R K .","It's amazing he'd offer to trade king-side pawns when Black's pawns are split, leaving Ph7 very weak."
